500 poodles;1
a Medusa;1
A torcida organizada Gaviões da Fiel;1
Aquaman;1
Austin Powers;1
Batman;1
Blanka;1
Chapolin Colorado;1
Charlie's Angels;1
dois bebês elefantes;1
dois muçulmanos;1
Fidel Castro;1
Harry Potter, Rony e Hermione;1
Hércules;1
Jack Bauer;1
Jack Sparrow e sua tripulação;1
o elenco da atual novela das oito;1
o minotauro;1
o PT;1
os animaniacs;1
os Trapalhões;1
os três patetas;1
Pai Mei;1
Pernalonga;1
tubarões com lasers;1
um Fiat Uno;1
um japonês com uma katana;1
um leão;1
uma criança sapeca com bexigas de ácido sulfúrico;1
uma mãe tentando proteger seu bebê;1
uma mulher de TPM;1
Willy Wonka + 20 loompa loompas;1
10 Velociraptors;2
4000 labradores;2
a sociedade do anel;2
a Suíça;2
AIDS;2
Al Qaeda;2
cartunistas franceses;2
Daenerys e seus dragões;2
Darth Maul;2
energias renováveis;2
Ghostbusters!;2
Godzilla;2
Hulk;2
Iron Man;2
Jesus Cristo;2
kamikases japoneses;2
King Kong;2
Michael J. Fox com um lança chamas;2
o exército napoleônico;2
o frio siberiano;2
o gênio da lâmpada de Aladdin;2
o Máskara;2
o Nordeste Brasileiro ;2
o Terceiro Reich;2
onze girafas agressivas;2
os ents d'O senhor dos Anéis;2
os Lannisters;2
seis leões;2
Smaug;2
um balrog;2
um código JavaScript bem programado;2
1 trilhão de dólares;3
a Apple;3
a Austrália;3
a ciência;3
a Estrela da Morte, de Darth Vader;3
a imprensa;3
a internet;3
a religião;3
amor;3
"as águias d'""o Senhor dos Anéis""";3
Chuck Norris;3
Deus;3
Dr. Manhattan;3
o comunismo;3
o exécito de mortos de Aragorn;3
o exército americano;3
o Google;3
o tempo;3
os aliens de Independence Day;3
skynet;3
Superman;3
The Matrix;3
todas as aranhas do mundo;3
todo o proletariado chinês;3
um apocalipse zumbi;3
um graveto;3
um meteoro em rota de colisão com a terra;3
um time inescrupuloso de advogados;3
um tsunami;3
uma bomba nuclear;3
